Sr. No.,Set No.,Set,Full Name,Country,Reserve,Role,MI CT,PR,JSK,PC,DSG,SEC,Winner
69,7,BA2,Leus  Du Plooy,England,175,Batsman,,,"1,500",,,"1,400",JSK
70,7,BA2,Theunis De Bruyn,South Africa,175,Batsman,,,,"1,000",950,,PC
,,, ,,,,,,,,,,Unsold
71,8,AR2,Carlos Braithwaite,West Indies,850,All Rounder,,,,,,,Unsold
72,8,AR2,Karim Janat,Afghanistan,850,All Rounder,,,,,,,Unsold
73,8,AR2,Craig Overton,England,850,All Rounder,,,,,,,Unsold
74,8,AR2,Colin Ackermann,Netherlands,175,All Rounder,,,,,,,Unsold
75,8,AR2,Jon-Jon Smuts,South Africa,175,All Rounder,,,,,"2,200","2,300",SEC
76,8,AR2,Roston  Chase,West Indies,425,All Rounder,,,,,,,Unsold
77,8,AR2,Lewis  Gregory,England,850,All Rounder,,,850,,,,JSK
78,8,AR2,Duan Jansen,South Africa,175,All Rounder,"3,300",,"3,200",,550,,MI CT
79,8,AR2,Akila Dhanajaya,Sri Lanka,850,All Rounder,,,,,,,Unsold
80,8,AR2,Wiaan Mulder,South Africa,175,All Rounder,,,,"1,800","1,900",,DSG
,,, ,,,,,,,,,,Unsold
81,9,FA2,Chris  Wood,England,175,Bowler,,,,,,,Unsold
82,9,FA2,Lizaad Williams,South Africa,175,Bowler,,300,325,,,,JSK
83,9,FA2,Binura Fernando,Sri Lanka,850,Bowler,,,,,,,Unsold
84,9,FA2,Daryn Dupavillon,South Africa,175,Bowler,"1,600",,,"1,700",,,PC
85,9,FA2,Tom Helm,England,425,Bowler,,,,,,,Unsold
86,9,FA2,Nuwan Pradeep,Sri Lanka,850,Bowler,,,,,,,Unsold
87,9,FA2,Junior Dala,South Africa,175,Bowler,,,,,175,,DSG
88,9,FA2,Duanne Olivier,South Africa,175,Bowler,,,,,,,Unsold
89,9,FA2,Olly  Stone,England,850,Bowler,850,,,,,,MI CT
,,, ,,,,,,,,,,Unsold
90,10,NEXXT,Jonathan Bird,South Africa,175,Batsman,,,,,,,Unsold
91,10,NEXXT,Jordan Cox,England,175,Wicket Keeper,,,,300,,325,SEC
92,10,NEXXT,Matthew Boast,South Africa,175,Bowler,,,,,,,Unsold
94,10,NEXXT,Bryce Parsons,South Africa,175,All Rounder,,,,,,,Unsold
95,10,NEXXT,Dunith Wellalage,Sri Lanka,175,All Rounder,,,,,,,Unsold
96,10,NEXXT,Andile Simelane,South Africa,175,All Rounder,,,,,,,Unsold
97,10,NEXXT,Celeb Seleka,South Africa,175,Bowler,,,175,,,,JSK
98,10,NEXXT,Dilshan Madushanka,Sri Lanka,175,Bowler,,,,250,275,,DSG
99,10,NEXXT,Tiaan Van Vuuren,South Africa,175,All Rounder,,,,,,,Unsold
,,, ,,,,,,,,,,Unsold
100,11,WK2,Grant Roelofsen,South Africa,175,Wicket Keeper,175,,,,,,MI CT
101,11,WK2,Mohammad Shahzad,Afghanistan,425,Wicket Keeper,,,,,,,Unsold
102,11,WK2,Johnson Charles,West Indies,425,Wicket Keeper,,,,,425,,DSG
103,11,WK2,Andries Gous,South Africa,175,Wicket Keeper,,,,,,,Unsold
104,11,WK2,Adam Rossington,England,425,Wicket Keeper,,,,,,425,SEC
105,11,WK2,Connor Esterhuizen,South Africa,175,Wicket Keeper,,,,,,,Unsold
106,11,WK2,Ben  Dunk,Australia,425,Wicket Keeper,,,,,,,Unsold
107,11,WK2,Ruan Hassbroek,South Africa,175,Wicket Keeper,,,,,,,Unsold
,,, ,,,,,,,,,,Unsold
108,12,SP2,Jake Lintott,England,425,Bowler,,,,,,,Unsold
109,12,SP2,Lakshan Sandakan,Sri Lanka,175,Bowler,,,,,,,Unsold
111,12,SP2,Siyabonga Mahima,South Africa,175,Bowler,,,,,,,Unsold
112,12,SP2,Tom Hartley,England,175,Bowler,,,,,,,Unsold
113,12,SP2,Gudakesh Motie,West Indies,425,Bowler,,,,,,,Unsold
114,12,SP2,Fawad Ahmed,Australia,850,Bowler,,,,,,,Unsold
115,12,SP2,Jeffery Vandersay,Sri Lanka,425,Bowler,,,,,,,Unsold
116,12,SP2,Tshepo Ntuli,South Africa,175,Bowler,,,,,,,Unsold
117,12,SP2,Waqar Salamkheil,Afghanistan ,175,Bowler,175,,,,,,MI CT
